COLOR,COMPKEY,FEEDERDIAM,FEEDERLEN,INSTDATE,MFGKEY,OUTLSZ1,OUTLSZ2,OUTLSZ3,PRESZONE,UNITTYPE,LONGKEY,PLUGGED,NONSCHE,FZONENUM,DECLREQD,HYMARKER,Letters,FLSHFRE_DAYS
GREEN,4272.0,0.0,1.0,2006-04-06 10:34:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
GREEN,4273.0,0.0,1.0,2008-09-04 07:54:00,1012,63,150,63,7,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
GREEN,4293.0,0.0,1.2,2008-07-21 11:25:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,Y,Y,B,365
BLUE,4298.0,0.0,1.1,2008-10-01 09:04:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,y,B,365
BLUE,4301.0,0.0,6.0,1997-09-05,1881,63,150,63,5,HYBLWF,N,N,N,FZ-C03,Y,y,B,14
GREEN,4302.0,0.0,1.2,1978-12-20,1012,63,63,0,5,HYBLWF,Y,N,N,FZ-C02,N,N,B,365
GREEN,4480.0,0.0,1.2,2008-09-04 07:54:00,1022,63,150,63,7,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
GREEN,4482.0,0.0,1.0,2005-11-04 12:24:00,1022,63,150,63,5,HYBLWF,N,N,Y,FZ-C02,N,Y,B,365
BLUE,5131.0,0.0,2.8,2008-06-16 08:33:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,5136.0,0.0,1.0,2008-03-20 09:44:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
BLUE,5147.0,0.0,1.0,2008-10-22 09:04:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
GREEN,4516.0,0.0,1.1,2008-07-25 07:43:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,4523.0,0.0,1.3,2008-10-02 10:53:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
ORANGE,4528.0,0.0,1.2,2008-08-29 10:14:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,5334.0,0.0,1.2,2016-03-24,1004,63,63,0,6,HYBLWF,N,Y,Y,FZ-C01,N,Y,B,365
BLUE,5350.0,0.0,1.5,2008-08-29 10:10:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,5351.0,0.0,1.2,2008-09-25 07:55:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C02,N,N,B,365
BLUE,5581.0,0.0,1.4,2008-09-22 09:45:00,1022,63,63,0,6,HYBLWF,N,N,Y,FZ-C01,Y,y,B,365
GREEN,5590.0,0.0,1.0,2008-07-21 11:25:00,1004,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
